,dataset,model,acc_mean,acc_std,time_mean,time_std
0,ACSF1,R_DST,0.8393333333333332,0.0364770436390297,8.84545323216665,3.982069662113213
1,ACSF1,R_DST_Ensemble,0.8393333333333332,0.03731814140818,13.010993468266587,0.2655727477278949
2,Adiac,R_DST,0.7382779198635977,0.0176341236341492,3.8612540266332567,0.135752130855993
3,Adiac,R_DST_Ensemble,0.8043478260869565,0.0145260033362831,6.203281679866738,0.1364222731335499
4,ArrowHead,R_DST,0.882095238095238,0.041027845084157,1.0201439111333306,0.0508364205643417
5,ArrowHead,R_DST_Ensemble,0.8925714285714286,0.0385639474591391,1.8267255051333149,0.0495831483002132
6,Beef,R_DST,0.7355555555555555,0.0870695029256457,1.0532480548666778,0.041073702923323
7,Beef,R_DST_Ensemble,0.7544444444444447,0.0823427717300925,1.52867856223329,0.0340468942388886
8,BeetleFly,R_DST,0.9183333333333332,0.0608606850808117,0.9084376984333632,0.0588245111858255
9,BeetleFly,R_DST_Ensemble,0.9233333333333332,0.0626062315579292,1.2802176865332968,0.0548992580165724
10,BirdChicken,R_DST,0.9149999999999998,0.0658498815226855,0.8994313414666522,0.0528273722848528
11,BirdChicken,R_DST_Ensemble,0.935,0.0543773532982632,1.2747004515666351,0.0343217104965029
12,BME,R_DST,0.9777777777777776,0.0252092139898733,0.3511786390333327,0.0221181984824574
13,BME,R_DST_Ensemble,0.9897777777777778,0.0208430245658436,0.614745495233304,0.0220920395076655
14,Car,R_DST,0.9494444444444442,0.0295182693391143,2.0401902951667124,0.0515686928766983
15,Car,R_DST_Ensemble,0.9438888888888888,0.0271519540349909,3.178236301266634,0.0806381369062957
16,CBF,R_DST,0.9938148148148148,0.007745875093005,1.1908070091333836,0.0524464299899403
17,CBF,R_DST_Ensemble,0.9963333333333334,0.0042400310046498,2.0149719194000832,0.0525355360201252
18,Chinatown,R_DST,0.9677356656948494,0.0071795735195921,0.0219695438999982,0.0038417302665748
19,Chinatown,R_DST_Ensemble,0.967055393586006,0.0116152180854289,0.2058566752999619,0.0188280351527295
20,ChlorineConcentration,R_DST,0.7617100694444444,0.0121871168777994,12.98909948229998,0.5919175919147401
21,ChlorineConcentration,R_DST_Ensemble,0.7831249999999998,0.0115901105179169,24.01634265216653,0.4247201029581927
22,Coffee,R_DST,0.9988095238095238,0.0065205066369662,0.5269515641000908,0.0319751933349325
23,Coffee,R_DST_Ensemble,1.0,0.0,0.8756551313334664,0.0251272347188183
24,Computers,R_DST,0.8149333333333332,0.0254055836020532,7.766761745699841,0.1161479469668795
25,Computers,R_DST_Ensemble,0.8629333333333334,0.0227473883811069,12.078336620733351,0.2925789339938362
26,CricketX,R_DST,0.8317948717948717,0.0193714278281447,5.607699884833346,0.1375360829136311
27,CricketX,R_DST_Ensemble,0.8300854700854701,0.0214837979792198,9.29781576919983,0.1891084537561697
28,CricketY,R_DST,0.8449572649572649,0.0122273633609377,5.609666878699985,0.171109057615715
29,CricketY,R_DST_Ensemble,0.8525641025641023,0.0142325812723877,9.254992533033146,0.2030775133916164
30,CricketZ,R_DST,0.8540170940170939,0.0150559248767961,5.515149085466934,0.1513087148480555
31,CricketZ,R_DST_Ensemble,0.8549572649572649,0.0157872932622718,9.246740020766932,0.2300578029166458
32,DiatomSizeReduction,R_DST,0.9419389978213506,0.0326987023333679,1.472139684066254,0.0388042887166141
33,DiatomSizeReduction,R_DST_Ensemble,0.9279956427015248,0.0272539173801885,2.943471237666988,0.0718340653096618
34,DistalPhalanxOutlineAgeGroup,R_DST,0.8035971223021582,0.0175359314669829,1.800991754700226,0.0396671335891807
35,DistalPhalanxOutlineAgeGroup,R_DST_Ensemble,0.8007194244604315,0.0229182436304904,2.5116331160667564,0.0652720769825416
36,DistalPhalanxOutlineCorrect,R_DST,0.8207729468599034,0.020489958271889,2.9173339707667765,0.16882272151219
37,DistalPhalanxOutlineCorrect,R_DST_Ensemble,0.8367149758454104,0.0207140750013594,4.009207770433447,0.1239335378259554
38,DistalPhalanxTW,R_DST,0.7083932853717028,0.0171846804115948,1.8282516012333263,0.0702635495805358
39,DistalPhalanxTW,R_DST_Ensemble,0.7079136690647483,0.0199587480528246,2.546906511466659,0.0881578372001397
40,Earthquakes,R_DST,0.7395683453237409,0.0127300211457253,6.374266729499626,0.2408624360514954
41,Earthquakes,R_DST_Ensemble,0.7422062350119905,0.0090771698122287,9.623425449533531,0.2560462210881571
42,ECG200,R_DST,0.901,0.0253730783203039,0.5190398496662965,0.052290460827024
43,ECG200,R_DST_Ensemble,0.904,0.0237225340275792,0.7758372043332201,0.0278740756778102
44,ECG5000,R_DST,0.9477703703703704,0.0020412796872204,13.380832021700067,0.4444019552955767
45,ECG5000,R_DST_Ensemble,0.9468370370370368,0.0024784697989576,24.018479290033188,0.3292592735752938
