,dataset,model,acc_mean,acc_std,time_mean,time_std
0,ACSF1,RDST Prime,0.8383333333333332,0.034748687232294344,4.95856320200002,0.12035997162808747
1,ACSF1,RDST Ensemble Prime,0.84,0.04118921854245271,8.546390044900022,0.2575861418409083
2,Adiac,RDST Prime,0.737766410912191,0.01650295893056076,2.076066695366679,0.06646306991268207
3,Adiac,RDST Ensemble Prime,0.80306905370844,0.015506109481579688,4.075602741733322,0.18760462536542138
4,ArrowHead,RDST Prime,0.880952380952381,0.038932506843755946,0.653043323233275,0.026717554455168706
5,ArrowHead,RDST Ensemble Prime,0.8927619047619049,0.03653333401822847,1.275313399733371,0.06083154187766497
6,Beef,RDST Prime,0.7322222222222223,0.0818761485641802,0.5949399877666868,0.015205717949383172
7,Beef,RDST Ensemble Prime,0.7533333333333334,0.08559013084511728,1.0671808692000468,0.0396880577790783
8,BeetleFly,RDST Prime,0.9183333333333333,0.056451586418765944,0.5311319250666505,0.021028661677751057
9,BeetleFly,RDST Ensemble Prime,0.9216666666666665,0.05971676443029199,0.924601635666689,0.04309933368864065
10,BirdChicken,RDST Prime,0.9166666666666665,0.06608945522512666,0.5078751127332756,0.01256976277766819
11,BirdChicken,RDST Ensemble Prime,0.9349999999999998,0.05594023904871685,0.8934886989333487,0.034944139321471474
12,BME,RDST Prime,0.9786666666666667,0.026632161584282655,0.18683800060005826,0.010626175062845387
13,BME,RDST Ensemble Prime,0.9897777777777776,0.02198803808088007,0.4672537559666125,0.0384637293535249
14,Car,RDST Prime,0.9505555555555554,0.02715195403499097,1.1868776875000246,0.030372831142702034
15,Car,RDST Ensemble Prime,0.9449999999999998,0.027386127875258296,2.082903086999992,0.05263584093121283
16,CBF,RDST Prime,0.9938148148148147,0.008261804554855142,0.684969357466692,0.03606806239468699
17,CBF,RDST Ensemble Prime,0.9962592592592592,0.004192914347121012,1.4225763547999881,0.1495149790674925
18,Chinatown,RDST Prime,0.9676384839650145,0.00735767039652335,0.012353181366658342,0.015968106251009456
19,Chinatown,RDST Ensemble Prime,0.965500485908649,0.014447666303545695,0.11839150626665287,0.040262081630371906
20,ChlorineConcentration,RDST Prime,0.7619184027777777,0.011016257253510322,8.505437922499944,0.44377454345841805
21,ChlorineConcentration,RDST Ensemble Prime,0.7822829861111111,0.01181374795860914,16.088488763733373,0.6822963317099937
22,Coffee,RDST Prime,0.9988095238095238,0.006520506636966259,0.3571821142333041,0.025708767038978574
23,Coffee,RDST Ensemble Prime,0.9988095238095238,0.006520506636966259,0.6884465625666507,0.045561619883270565
24,Computers,RDST Prime,0.8156,0.024145535747871136,5.159761152333309,0.18183092475354568
25,Computers,RDST Ensemble Prime,0.8597333333333333,0.02696477054556023,8.542417091866673,0.3340497551914387
26,CricketX,RDST Prime,0.833247863247863,0.02216473327359761,3.573493631333349,0.16931008553559604
27,CricketX,RDST Ensemble Prime,0.8293162393162393,0.020531416563437602,6.100658921233344,0.14892799347661848
28,CricketY,RDST Prime,0.8431623931623932,0.015148248098405728,3.5366508909999994,0.20478436910780018
29,CricketY,RDST Ensemble Prime,0.8509401709401708,0.015232572202485523,6.662361776666573,0.44600719638744923
30,CricketZ,RDST Prime,0.8537606837606838,0.014019663634847216,3.539053822499985,0.12124083485037525
31,0,0,0.0,0.0,0.0,0.0
32,0,0,0.0,0.0,0.0,0.0
33,0,0,0.0,0.0,0.0,0.0
34,0,0,0.0,0.0,0.0,0.0
35,0,0,0.0,0.0,0.0,0.0
36,0,0,0.0,0.0,0.0,0.0
37,0,0,0.0,0.0,0.0,0.0
38,0,0,0.0,0.0,0.0,0.0
39,0,0,0.0,0.0,0.0,0.0
40,0,0,0.0,0.0,0.0,0.0
41,0,0,0.0,0.0,0.0,0.0
42,0,0,0.0,0.0,0.0,0.0
43,0,0,0.0,0.0,0.0,0.0
44,0,0,0.0,0.0,0.0,0.0
45,0,0,0.0,0.0,0.0,0.0
46,0,0,0.0,0.0,0.0,0.0
47,0,0,0.0,0.0,0.0,0.0
48,0,0,0.0,0.0,0.0,0.0
49,0,0,0.0,0.0,0.0,0.0
50,0,0,0.0,0.0,0.0,0.0
51,0,0,0.0,0.0,0.0,0.0
52,0,0,0.0,0.0,0.0,0.0
53,0,0,0.0,0.0,0.0,0.0
54,0,0,0.0,0.0,0.0,0.0
55,0,0,0.0,0.0,0.0,0.0
56,0,0,0.0,0.0,0.0,0.0
57,0,0,0.0,0.0,0.0,0.0
58,0,0,0.0,0.0,0.0,0.0
59,0,0,0.0,0.0,0.0,0.0
60,0,0,0.0,0.0,0.0,0.0
61,0,0,0.0,0.0,0.0,0.0
62,0,0,0.0,0.0,0.0,0.0
63,0,0,0.0,0.0,0.0,0.0
64,0,0,0.0,0.0,0.0,0.0
65,0,0,0.0,0.0,0.0,0.0
66,0,0,0.0,0.0,0.0,0.0
67,0,0,0.0,0.0,0.0,0.0
68,0,0,0.0,0.0,0.0,0.0
69,0,0,0.0,0.0,0.0,0.0
70,0,0,0.0,0.0,0.0,0.0
71,0,0,0.0,0.0,0.0,0.0
72,0,0,0.0,0.0,0.0,0.0
73,0,0,0.0,0.0,0.0,0.0
74,0,0,0.0,0.0,0.0,0.0
75,0,0,0.0,0.0,0.0,0.0
76,0,0,0.0,0.0,0.0,0.0
77,0,0,0.0,0.0,0.0,0.0
78,0,0,0.0,0.0,0.0,0.0
79,0,0,0.0,0.0,0.0,0.0
80,0,0,0.0,0.0,0.0,0.0
81,0,0,0.0,0.0,0.0,0.0
82,0,0,0.0,0.0,0.0,0.0
83,0,0,0.0,0.0,0.0,0.0
